iter	Passed	Remaining
618	10195	6275
619	10209	6257
620	10223	6239
621	10239	6222
622	10255	6205
623	10267	6186
624	10281	6168
625	10294	6150
626	10305	6130
627	10317	6111
628	10330	6093
629	10346	6076
630	10360	6058
631	10374	6040
632	10388	6023
633	10402	6005
634	10416	5987
635	10428	5968
636	10443	5951
637	10457	5933
638	10468	5913
639	10479	5894
640	10491	5875
641	10506	5858
642	10518	5840
643	10532	5822
644	10546	5804
645	10562	5788
646	10576	5770
647	10592	5753
648	10606	5736
649	10619	5717
650	10637	5702
651	10658	5688
652	10673	5671
653	10687	5654
654	10701	5636
655	10715	5619
656	10728	5601
657	10744	5584
658	10758	5566
659	10772	5549
660	10786	5531
661	10799	5513
662	10812	5495
663	10828	5479
664	10850	5466
665	10861	5447
666	10873	5428
667	10885	5409
668	10898	5392
669	10913	5375
670	10926	5357
671	10940	5340
672	10955	5323
673	10965	5303
674	10979	5286
675	10992	5268
676	11005	5250
677	11014	5231
678	11028	5213
679	11044	5197
680	11056	5179
681	11067	5160
682	11078	5142
683	11090	5123
684	11102	5105
685	11114	5087
686	11128	5069
687	11140	5051
688	11153	5034
689	11166	5017
690	11179	4999
691	11194	4982
692	11207	4965
693	11221	4947
694	11237	4931
695	11250	4913
696	11262	4895
697	11273	4877
698	11287	4860
699	11300	4842
700	11314	4825
701	11325	4807
702	11342	4792
703	11355	4774
704	11368	4757
705	11383	4740
706	11397	4723
707	11409	4705
708	11422	4688
709	11437	4671
710	11449	4654
711	11462	4636
712	11475	4619
713	11490	4602
714	11500	4583
715	11514	4567
716	11529	4550
717	11542	4533
718	11556	4516
719	11568	4499
720	11581	4481
721	11591	4463
722	11606	4446
723	11618	4429
724	11634	4412
725	11646	4395
726	11658	4378
727	11670	4360
728	11681	4342
729	11694	4325
730	11708	4308
731	11724	4292
732	11741	4276
733	11756	4260
734	11769	4243
735	11782	4226
736	11796	4209
737	11808	4192
738	11820	4174
739	11837	4159
740	11847	4141
741	11861	4124
742	11875	4107
743	11887	4090
744	11899	4072
745	11913	4056
746	11929	4040
747	11942	4023
748	11955	4006
749	11967	3989
750	11981	3972
751	11993	3955
752	12005	3937
753	12018	3921
754	12032	3904
755	12044	3887
756	12058	3870
757	12071	3854
758	12085	3837
759	12098	3820
760	12109	3802
761	12122	3786
762	12135	3769
763	12147	3752
764	12157	3734
765	12173	3718
766	12185	3701
767	12198	3684
768	12210	3668
769	12225	3651
770	12236	3634
771	12249	3617
772	12262	3601
773	12276	3584
774	12289	3567
775	12303	3551
776	12317	3535
777	12332	3519
778	12346	3502
779	12359	3485
780	12373	3469
781	12386	3453
782	12399	3436
783	12412	3419
784	12428	3403
785	12441	3387
786	12454	3370
787	12468	3354
788	12482	3338
789	12495	3321
790	12508	3305
791	12522	3288
792	12535	3272
793	12549	3256
794	12564	3239
795	12577	3223
796	12590	3206
797	12607	3191
798	12620	3174
799	12633	3158
800	12648	3142
801	12661	3126
802	12672	3108
803	12685	3092
804	12698	3076
805	12711	3059
806	12724	3043
807	12740	3027
808	12752	3010
809	12767	2994
810	12780	2978
811	12795	2962
812	12808	2946
813	12819	2929
814	12833	2913
815	12849	2897
816	12863	2881
817	12876	2864
818	12889	2848
819	12902	2832
820	12916	2816
821	12933	2800
822	12947	2784
823	12958	2767
824	12972	2751
825	12985	2735
826	12998	2719
827	13013	2703
828	13027	2687
829	13043	2671
830	13055	2655
831	13068	2638
832	13081	2622
833	13094	2606
834	13111	2590
835	13126	2575
836	13141	2559
837	13154	2542
838	13166	2526
839	13177	2510
840	13189	2493
841	13201	2477
842	13212	2460
843	13226	2444
844	13239	2428
845	13252	2412
846	13264	2396
847	13277	2379
848	13288	2363
849	13301	2347
850	13312	2330
851	13325	2314
852	13339	2298
853	13353	2282
854	13366	2266
855	13379	2250
856	13392	2234
857	13407	2218
858	13418	2202
859	13433	2186
860	13447	2170
861	13461	2155
862	13474	2139
863	13487	2122
864	13501	2107
865	13515	2091
866	13531	2075
867	13544	2059
868	13558	2043
869	13572	2028
870	13585	2012
871	13600	1996
872	13614	1980
873	13628	1964
874	13640	1948
875	13652	1932
876	13667	1916
877	13679	1900
878	13692	1884
879	13708	1869
880	13726	1854
881	13739	1838
882	13753	1822
883	13763	1806
884	13776	1790
885	13789	1774
886	13803	1758
887	13818	1742
888	13831	1727
889	13846	1711
890	13858	1695
891	13870	1679
892	13883	1663
893	13895	1647
894	13910	1631
895	13926	1616
896	13938	1600
897	13951	1584
898	13966	1569
899	13979	1553
900	13992	1537
901	14005	1521
902	14022	1506
903	14035	1490
904	14049	1474
905	14060	1458
906	14075	1443
907	14086	1427
908	14101	1411
909	14114	1395
910	14128	1380
911	14141	1364
912	14155	1348
913	14167	1333
914	14181	1317
915	14195	1301
916	14210	1286
917	14225	1270
918	14237	1254
919	14252	1239
920	14264	1223
921	14279	1208
922	14292	1192
923	14305	1176
924	14320	1161
925	14332	1145
926	14348	1129
927	14362	1114
928	14376	1098
929	14389	1083
930	14402	1067
931	14417	1051
932	14430	1036
933	14445	1020
934	14461	1005
935	14475	989
936	14489	974
937	14506	958
938	14520	943
939	14533	927
940	14547	912
941	14560	896
942	14573	880
943	14585	865
944	14600	849
945	14614	834
946	14628	818
947	14643	803
948	14657	787
949	14670	772
950	14686	756
951	14699	741
952	14714	725
953	14728	710
954	14742	694
955	14755	679
956	14769	663
957	14783	648
958	14797	632
959	14814	617
960	14826	601
961	14841	586
962	14857	570
963	14871	555
964	14886	539
965	14901	524
966	14918	509
967	14931	493
968	14944	478
969	14955	462
970	14969	447
971	14983	431
972	14996	416
973	15008	400
974	15020	385
975	15035	369
976	15049	354
977	15061	338
978	15072	323
979	15085	307
980	15099	292
981	15112	277
982	15126	261
983	15140	246
984	15153	230
985	15165	215
986	15176	199
987	15191	184
988	15207	169
989	15217	153
990	15229	138
991	15240	122
992	15254	107
993	15266	92
994	15279	76
995	15295	61
996	15310	46
997	15324	30
998	15337	15
999	15352	0
