iter	Logloss
0	0.6696722632
1	0.6495491042
2	0.6324119159
3	0.6154820284
4	0.6010774913
5	0.5872776026
6	0.5751563941
7	0.5635159056
8	0.5547003304
9	0.5440773413
10	0.5369546437
11	0.5286220921
12	0.5203388004
13	0.5133430698
14	0.5081998294
15	0.5053554046
16	0.5001565535
17	0.4945614103
18	0.4906165519
19	0.4860368035
20	0.4819358304
21	0.4782531672
22	0.4749737843
23	0.4713943949
24	0.4688048048
25	0.4669468422
26	0.4648053528
27	0.4630049184
28	0.4613004256
29	0.4589898942
30	0.4573522227
31	0.4560832514
32	0.4555002454
33	0.453986516
34	0.4527684094
35	0.4513957473
36	0.450965408
37	0.4495687949
38	0.4480695705
39	0.4472766784
40	0.4465817195
41	0.4452295374
42	0.4442399768
43	0.4433397238
44	0.4430288201
45	0.4421870201
46	0.4411941222
47	0.440547242
48	0.4397530195
49	0.4389762688
50	0.438565815
51	0.437766225
52	0.4372860171
53	0.43693453
54	0.4365040508
55	0.4355795739
56	0.4347148183
57	0.434645729
58	0.4342886488
59	0.4336062963
60	0.432885128
61	0.4326036388
62	0.4323553129
63	0.4314228451
64	0.4313197562
65	0.4310165651
66	0.4307162256
67	0.4299352588
68	0.4294298419
69	0.4290482797
70	0.428872292
71	0.4287994562
72	0.4287970304
73	0.4280898406
74	0.4280076796
75	0.4277259139
76	0.4276430296
77	0.4271396054
78	0.4269875655
79	0.4268172816
80	0.4265735783
81	0.4263872277
82	0.4258911371
83	0.4254679988
84	0.4249085673
85	0.4247669446
86	0.4247663509
87	0.4244515154
88	0.4242301387
89	0.4237487619
90	0.4234092519
91	0.4230653153
92	0.4229690324
93	0.4229258104
94	0.4229022348
95	0.4224888519
96	0.422055397
97	0.4220553456
98	0.4219821485
99	0.4213256894
100	0.4210321705
101	0.4209275792
102	0.4208181306
103	0.4208181299
104	0.4206857906
105	0.4200527313
106	0.419848778
107	0.4193471326
108	0.4191728207
109	0.4185726686
110	0.4185726624
111	0.4185579663
112	0.4183464934
113	0.4179847741
114	0.4179131718
115	0.4174895193
116	0.4172045073
117	0.4171267422
118	0.4168511426
119	0.4168370245
120	0.4164396572
121	0.4161614649
122	0.4161614635
123	0.4161459485
124	0.415925079
125	0.4154853759
126	0.4153129144
127	0.4147053947
128	0.4138737911
129	0.4132584908
130	0.4131991831
131	0.4131671188
132	0.4127114957
133	0.4124826746
134	0.4124826711
135	0.4124826703
136	0.4124793747
137	0.4124056063
138	0.4123865297
139	0.4123848189
140	0.4122518249
141	0.412175438
142	0.4120367903
143	0.411575412
144	0.4114334522
145	0.4114160509
146	0.4111836009
147	0.4109095598
148	0.4108381726
149	0.4107129066
150	0.4106603426
151	0.4106504943
152	0.4102527266
153	0.4100877472
154	0.4098210919
155	0.4095137353
156	0.4091394493
157	0.4089837851
158	0.4089837845
159	0.4086861841
160	0.4086860743
161	0.4086860713
162	0.4084676094
163	0.4082185912
164	0.4080007468
165	0.407738728
166	0.4077387167
167	0.4074459522
168	0.4069512642
169	0.4066162007
170	0.4058776308
171	0.4052788817
172	0.4051694456
173	0.4044241405
174	0.4041168869
175	0.4040474958
176	0.4039103197
177	0.4038260233
178	0.4034148503
179	0.4030800592
180	0.4027614974
181	0.4024297382
182	0.4022352478
183	0.4020771869
184	0.4020032356
185	0.4019532202
186	0.4016580861
187	0.4012178166
188	0.4009158234
189	0.4005754803
190	0.4005754733
191	0.3999595511
192	0.3999570198
193	0.399790534
194	0.399751149
195	0.3993158066
196	0.3989826023
197	0.3986704436
198	0.3982876166
199	0.3978262153
200	0.3974874557
201	0.3973564876
202	0.3972710712
203	0.3967070388
204	0.3962387783
205	0.3959960954
206	0.3958771077
207	0.3956956514
208	0.3956582669
209	0.3953874697
210	0.3948829742
211	0.3945829439
212	0.394282009
213	0.3936323019
214	0.3935848136
215	0.3933898142
216	0.3928772741
217	0.3925845769
218	0.3921203967
219	0.3914934036
220	0.3913244682
221	0.3912573799
222	0.3907786982
223	0.390346327
224	0.3896961974
225	0.3890602134
226	0.3887630972
227	0.388539767
228	0.3881003182
229	0.3879574677
230	0.3875546796
231	0.3872949164
232	0.3870025246
233	0.3863396656
234	0.385976797
235	0.3856713256
236	0.3850733887
237	0.3848993328
238	0.3847122876
239	0.3845665435
240	0.3840038492
241	0.3836734261
242	0.3833036561
243	0.3832262581
244	0.3829720347
245	0.3829395312
246	0.3828779181
247	0.38260969
248	0.3824608215
249	0.3820973685
250	0.3817924603
251	0.3811092064
252	0.3807116441
253	0.380444146
254	0.3800190097
255	0.3797892624
256	0.3792852107
257	0.3789444511
258	0.3787615274
259	0.3786797631
260	0.3785606689
261	0.3782922979
262	0.3776573165
263	0.3772378121
264	0.3770910222
265	0.3768114636
266	0.3764446311
267	0.3762984195
268	0.3761068221
269	0.3756989135
270	0.3755620238
271	0.3752340741
272	0.3751186394
273	0.3747635492
274	0.374743213
275	0.3740257677
276	0.3735212117
277	0.3730503867
278	0.3727871231
279	0.3727342022
280	0.3725796984
281	0.3721967924
282	0.3719389598
283	0.3718835582
284	0.3718657341
285	0.3714747512
286	0.3709521402
287	0.3709183033
288	0.3705192107
289	0.3701786108
290	0.3700308606
291	0.3698717039
292	0.3698322428
293	0.3696191853
294	0.3694752862
295	0.3685213705
296	0.367981975
297	0.3675617006
298	0.3670390497
299	0.3665521699
300	0.3664081786
301	0.3661403873
302	0.3658927986
303	0.3656000453
304	0.3652822331
305	0.365081305
306	0.3649050632
307	0.3648601521
308	0.3644925546
309	0.3641522889
310	0.3639242361
311	0.3635434189
312	0.3634674411
313	0.3631122329
314	0.3629275105
315	0.3626409464
316	0.3623124231
317	0.3619343796
318	0.3617300056
319	0.3615675587
320	0.3612533133
321	0.361003704
322	0.3607491702
323	0.3606156975
324	0.3602083047
325	0.36006661
326	0.3600494677
327	0.359805935
328	0.3594122244
329	0.3593117998
330	0.3588040826
331	0.3585841221
332	0.3583961982
333	0.3580333461
334	0.3576152548
335	0.3572383074
336	0.3570900809
337	0.3568731871
338	0.35672446
339	0.3566590628
340	0.3563954169
341	0.3561289051
342	0.3556895878
343	0.3554466979
344	0.3553752383
345	0.3553600914
346	0.3551958388
347	0.3550001278
348	0.3549159718
349	0.3546507881
350	0.3544171955
351	0.353845043
352	0.3536883164
353	0.3535220217
354	0.3531629846
355	0.3531522545
356	0.3529833601
357	0.3528229312
358	0.3526581847
359	0.3525930849
360	0.3522626896
361	0.3520780466
362	0.3517662479
363	0.3513119585
364	0.351112338
365	0.3509650743
366	0.3508528926
367	0.3505450977
368	0.3504678684
369	0.3503807566
370	0.3501608097
371	0.3498983846
372	0.349605721
373	0.3492973961
374	0.3491083229
375	0.348973181
376	0.3488424079
377	0.3483619449
378	0.3480692018
379	0.3477051255
380	0.3474839896
381	0.3470367552
382	0.3468020322
383	0.346471055
384	0.3464268411
385	0.3460826023
386	0.346068394
387	0.3456907213
388	0.3454449482
389	0.3451775698
390	0.3448396179
391	0.344690452
392	0.3446804264
393	0.3445261913
394	0.3441629588
395	0.344003611
396	0.3439849363
397	0.3437124632
398	0.3434350356
399	0.343102849
400	0.3430899533
401	0.3428964635
402	0.3427514233
403	0.3425128643
404	0.3422111406
405	0.3420881093
406	0.3419267194
407	0.3418997978
408	0.3417123621
409	0.3415610649
410	0.3413205512
411	0.3409239868
412	0.3407054196
413	0.340427283
414	0.3402440882
415	0.3400883148
416	0.3398683201
417	0.3397525947
418	0.3396516426
419	0.3393056948
420	0.3392219585
421	0.3391946902
422	0.3389884
423	0.3388879427
424	0.3384786984
425	0.338179048
426	0.3381560028
427	0.3380042047
428	0.3378664737
429	0.3376208375
430	0.3374943235
431	0.3373505691
432	0.3372282747
433	0.3367681758
434	0.3365471941
435	0.3364292112
436	0.336063675
437	0.3357689541
438	0.3355696596
439	0.3353366609
440	0.3349583407
441	0.3346067559
442	0.3342129727
443	0.3340680161
444	0.3339828671
445	0.33386593
446	0.3335648519
447	0.3333576257
448	0.3333439977
449	0.3332786576
450	0.3331403373
451	0.3331064969
452	0.3330255564
453	0.3328276818
454	0.3325653287
455	0.3324156187
456	0.3321224118
457	0.3320129936
458	0.3317064712
459	0.3316047083
460	0.331347155
461	0.331140793
462	0.3309420046
463	0.3305536949
464	0.3301814182
465	0.3301693835
466	0.3300697058
467	0.3297103975
468	0.3294253947
469	0.3292905873
470	0.3291939893
471	0.3291171339
472	0.3290499373
473	0.3289990817
474	0.3289045989
475	0.328523896
476	0.3284458651
477	0.3281911244
478	0.3281577782
479	0.3277555859
480	0.3276702536
481	0.3276123616
482	0.3274524377
483	0.3271507032
484	0.3269145811
485	0.3268564574
486	0.326806481
487	0.3267137141
488	0.3264103768
489	0.3261775969
490	0.3260933843
491	0.3258053852
492	0.3254779472
493	0.3252023386
494	0.3248164089
495	0.3246932532
496	0.3244259962
497	0.3242906422
